Company/Brand,Sector,Stage,HeadQuarter,What it does,Amount($),Year
Bewakoof,Apparel & Fashion,Undisclosed,Mumbai,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",8000000.0,2021
Kirana247,Logistics & Supply Chain,Undisclosed,New Delhi,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,1000000.0,2021
FanPlay,Computer Games,Undisclosed,n/a,A real money game app specializing in trivia games,1200000.0,2021
NeoDocs,HealthTech,Undisclosed,Mumbai,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.",121793941.14254577,2021
IsGoingOnline,Retail,Undisclosed,Cochin,Kochi-based digital catalogue and marketplace IsGoingOnline,200000.0,2021
Camp K12,EdTech,Undisclosed,Gurugram,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",12000000.0,2021
Elda Health,Health Care,Undisclosed,Bangalore,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.",1500000.0,2021
Sporjo,SportsTech,Undisclosed,Mumbai,A one stop destination to build a successful career in the Indian sports industry!,2000000.0,2021
Advantage Club,HRTech,Undisclosed,Mumbai,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:",1700000.0,2021
SuperGaming,Gaming,Undisclosed,Pune,"At SuperGaming, building India's best gaming company.",5500000.0,2021
Ruptok,FinTech,Undisclosed,New Delhi,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",1000000.0,2021
TartanSense,IT,Series A,Bangalore,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,5000000.0,2021
Kirana247,Logistics & Supply Chain,Pre-series A,New Delhi,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,1000000.0,2021
NeoDocs,HealthTech,Pre-seed,Mumbai,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.",121793941.14254577,2021
IsGoingOnline,Retail,Pre-series A,Cochin,Kochi-based digital catalogue and marketplace IsGoingOnline,200000.0,2021
Camp K12,EdTech,Series A,Gurugram,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",12000000.0,2021
Elda Health,Health Care,Seed,Bangalore,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.",1500000.0,2021
Sporjo,SportsTech,Pre-series A,Mumbai,A one stop destination to build a successful career in the Indian sports industry!,2000000.0,2021
SuperGaming,Gaming,Series A,Pune,"At SuperGaming, building India's best gaming company.",5500000.0,2021
O’ Be Cocktails,Wine & Spirits,Undisclosed,Bangalore,India’s first and only Ready to Drink Premium Cocktails.,400000.0,2021
Zetwerk,Mechanical & Industrial Engineering,Series E,Bangalore,ZETWERK is a universal manufacturing network powered by new-age technology.,150000000.0,2021
AppsForBharat,Spiritual,Seed,Bangalore,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.",4000000.0,2021
Imagimake,Consumer Goods,Undisclosed,Mumbai,"Imagimake – one of the fastest growing and most innovative start-up in the field of Toys, Games & Artist Supplies.",121793941.14254577,2021
Khatabook,Financial Services,Series C,Bangalore,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,100000000.0,2021
Smytten,Consumer Goods,Series A,Gurugram,India's largest premium discovery and trial platform!,6000000.0,2021
Syook,Industrial Automation,Series A,Bangalore,Syook is building the next generation enterprise IOT platform.,1000000.0,2021
Akudo,FinTech,Pre-seed,Bangalore,Akudo is pioneering the concept of Learning-First Banking for Teenagers.,121793941.14254577,2021
NOTO,Consumer Goods,Pre-series A,Mumbai,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.",500000.0,2021
Lumiq,IT,Seed,Noida,Help enterprises monetize their data and reinvent the digital transformation journey.,2000000.0,2021
CommerceUp,IT,Seed,Gurugram,Grow and manage ecommerce business from single dashboard,121793941.14254577,2021
Breathe Well-being,Health,Series A,Gurugram,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.",5500000.0,2021
Hike,IT,Undisclosed,New Delhi,Hike is an Indian AI-led Unicorn startup that is committed to building a new social future.,121793941.14254577,2021
House of Kieraya,Lifestyle,Undisclosed,Bangalore,"House of Kieraya, well-known for furniture and lifestyle rental brand ?Furlenco",15000000.0,2021
goEgoNetwork,Automotive,Undisclosed,Pune,"goEgo is a complete E Mobility charging solution, that combines engagement, rewards & adoption through a mix of online and offline channels.",2000000.0,2021
Probus,IoT,Bridge,New Delhi,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.",500000.0,2021
DrinkPrime,Consumer Goods,Undisclosed,Bangalore,India's Smartest Water Purifiers and are redefining water purifier ownership.,1000000.0,2021
Smart Express,Logistics,Seed,Mumbai,India’s Most Innovative and Awarded Express Logistics Company.,10000000.0,2021
Smallcase,FinTech,Series C,Bangalore,Smallcase is a new way to invest in the stock markets.,40000000.0,2021
SATYA MicroCapital,Banking,Undisclosed,New Delhi,Satya MicroCapital Limited is a Delhi based NBFC serving low income entrepreneurs in rural and urban areas.,10000000.0,2021
Snack Amor,Food & Beverages,Undisclosed,Mumbai,"Snack Amor aims is to offer a healthy, natural and tasty snacking experience to its customers.",121793941.14254577,2021
Postman,Computer Software,Series D,Bangalore,Postman is the collaboration platform for API development.,225000000.0,2021
Hashnode,Computer Software,Series A,Bangalore,The easiest way to start a blog on personal domain for free & connect with the readers through our dev community,6700000.0,2021
RACEnergy,Automotive,Seed+,Hyderabad,RACEnergy is working to power the future of mobility through clean and efficient technologies.,1300000.0,2021
BharatPe,FinTech,Debt,New Delhi,The vision to make financial inclusion a reality for Indian merchants.,20000000.0,2021
Gyde,Computer Software,Seed,Pune,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.",250000.0,2021
BatteryPool,Automotive,Seed,Pune,Building the Operating System for managing Electric Vehicles in fleets.,121793941.14254577,2021
AgNext,AgriTech,Series A,Chandigarh,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",21000000.0,2021
Xpresslane,Tech,Pre-seed,Bangalore,"Xpresslane makes checkout fast and easy. With a unified identity across all e-commerce merchants, it brings efficiency and perfection in the overall checkout experience of the user.",400000.0,2021
LoanKuber,Digital mortgage,Pre-series A,New Delhi,LoanKuber is the lowest cost lender to Yest-to be Bankable - enabling borrowing with trust and confidence.,1200000.0,2021
OYO,Hospitality,Series F2,Gurugram,OYO is a global travel tech company that connects its patrons and guests.,5000000.0,2021
Rapido,Information Technology & Services,Undisclosed,Bangalore,Rapido is a bike taxi service spread widely across all of India from Tier 1 to Tier 3 cities.,52000000.0,2021
YPay,FinTech,Undisclosed,Noida,YPay Card is the new way to manage money.,400000.0,2021
SleepyCat,Furniture,Undisclosed,Mumbai,An online sleep solutions company that believes in delivering luxurious sleep to everyone.,3800000.0,2021
Ultrahuman,Health Care,Undisclosed,Bangalore,Ultrahuman is a global health and fitness platform that aids our user to achieve their true physical and mental potential.,17500000.0,2021
UpScalio,E-Commerce,Undisclosed,Gurugram,"UpScalio is India’s next generation, data-driven consumer goods company.",42000000.0,2021
Yellow Class,EdTech,Undisclosed,Gurugram,"Yellow Class is a new-age fun-learning platform where kids between 2-12 years can learn from a wide range of classes like dancing, drawing, personality development, creative writing and so on",6000000.0,2021
Yojak,B2B Marketplace,Undisclosed,Gurugram,India’s first B2B online marketplace for building material.,3800000.0,2021
CreatorStack,Computer Software,Undisclosed,Bangalore,Helping creators globally to engage deeply with their fans and communities,2000000.0,2021
Expertrons,EdTech,Undisclosed,Mumbai,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,2300000.0,2021
Rage Coffee,Food & Beverages,Undisclosed,New Delhi,"Rage Coffee is a digitally native FMCG company that manufactures, markets & distributes innovative coffee products.",5000000.0,2021
Klub,Financial Services,Undisclosed,Bangalore,Klub was founded with the vision of revolutionizing growth capital for Asia’s most loved brands.a,20000000.0,2021
Navia Life Care,Health Care,Undisclosed,New Delhi,Navia Life Care is a health technlogy company with a special focus on patient care.,1000000.0,2021
1K Kirana Bazaar,Retail,Undisclosed,Gurugram,India's First and Largest Network of Small-Town Kirana Stores,7000000.0,2021
Zupee,Gaming,Undisclosed,Gurugram,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications",30000000.0,2021
Locale.ai,Location Analytics,Undisclosed,Bangalore,Location Analytics for Companies With Moving Assets and Ground Operations.,1000000.0,2021
VerSe Innovation,Media,Undisclosed,Bangalore,"The core of the company (VerSe Innovation), is the idea that technology can help bridge the digital divide.",450000000.0,2021
MetroRide,Transport,Undisclosed,Bangalore,"Urban Mobility Affordable, Punctual & Sustainable.",121793941.14254577,2021
Miko,Consumer Electronics,Undisclosed,Mumbai,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",28000000.0,2021
Whiz League,EdTech,Undisclosed,New Delhi,Revolutionizing learning experience that goes beyond academia,300000.0,2021
Hash,Tobacco,Undisclosed,New Delhi,Hash is a new startup in consumer goods.,3500000.0,2021
Unacademy,EdTech,Undisclosed,Bangalore,Unacademy aims to build the world's largest online knowledge repository for multi-lingual education.,121793941.14254577,2021
Log 9 Materials,Deeptech,Series A+,Bangalore,Log9 Materials is on a mission to make global energy 100% clean.,8500000.0,2021
upGrad,EdTech,Undisclosed,Mumbai,"upGrad is India’s largest online higher education company providing programs in Data Science, Technology, Management and Law, to students, working professionals and enterprises.",25000000.0,2021
FlashPrep,EdTech,Pre-seed,Bangalore,FlashPrep is the smart way to master learning.,500000.0,2021
Kenko Health,Insurance Tech,Pre-series A,Mumbai,"A unique healthcare financing solution focusing on ROI, affordability and superior customer experience",1700000.0,2021
Wiz Freight,Logistics & Supply Chain,Seed,Chennai,"Wiz is a tech-enabled freight forwarding platform. We make global shipping efficient, hassle-free and highly visible for businesses.",3500000.0,2021
Credgenics,Financial Services,Series A,New Delhi,Credgenics is India’s first of it's kind NPA resolution platform backed by credible investors including Accel Partners and Titan Capital.,25000000.0,2021
BlueLearn,EdTech,Pre-seed,Goa,"Building India's largest student community. Learn, network, and grow together with 40,000+ students!",400000.0,2021
NimbleBox.ai,MLOps platform,Seed,Chennai,A full-stack MLOps platform built to create & launch multi-cloud apps on the cloud,1000000.0,2021
Pickrr,Logistics & Supply Chain,Series B,Gurugram,India's 1st Virtual Logistics solution catering to Global Brands/SMEs/Online sellers/AmazonSellers,12000000.0,2021
Stellaris Venture Partners,Venture Capital,Undisclosed,Bangalore,Early-stage tech VC in India.,225000000.0,2021
Grip Invest,Financial Services,Series A,Gurugram,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.",3000000.0,2021
Heads Up For Tails,Pet care,Series A,New Delhi,"A one stop shop for all pet products with paw prints all across India, we design, manufacture and customize stylish",37000000.0,2021
Blue Tokai Coffee Roasters,Food & Beverages,Pre-series B,New Delhi,"Source, roast, and brew India's best single-origin Arabica coffee.",2000000.0,2021
Neeman,Consumer Goods,Series A,Hyderabad,India's first Startup to use the world's most revolutionary Natural & Renewable fibers in Footwear,2000000.0,2021
BharatPe,FinTech,Series E,New Delhi,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.",370000000.0,2021
GoSats,FinTech,Seed,Bangalore,GoSats is a bitcoin stacking app that lets users earn bitcoin cashbacks when they shop with our partnered merchants.,700000.0,2021
StockGro,FinTech,Pre-series A,Bangalore,Making Investment Social- India's First Social Trading Platform,5000000.0,2021
Onsurity,Health Care,Series A,Bangalore,"Onsurity is a HealthTech & Employee Benefits organization, disrupting the SME and startup healthcare market with technology and innovation!",16000000.0,2021
Khabri,Media,Pre-series A,Gurugram,Khabri is India’s fastest growing vernacular audio platform targeted at next billion internet users.,2000000.0,2021
Celcius,Logistics,Undisclosed,Mumbai,Celcius is a asset light startup with a web and app based SaaS platform which brings the complete cold chain solution network ONLINE,500000.0,2021
AyuRythm,Health Care,Seed,Bangalore,AyuRythm is the world's first completely digital solution for personalized holistic wellness based on Ayurvedic principles.,121793941.14254577,2021
Enguru,EdTech,Pre-series A,Bangalore,Enguru provides a personalized & gamified English learning solution to prepare young adults for the workplace.,121793941.14254577,2021
Rocket Skills,EdTech,Pre-seed,Gurugram,Rocket Skills is the #1 Platform for learning skills which will bring a high positive impact on your business and life skills.,200000.0,2021
RenewBuy,FinTech,Series C,Gurugram,"Simplify insurance and aim to take it to the last Indian, through our digitally enabled POSP advisors.",10000000.0,2021
Faarms,AgriTech,Seed,Bangalore,FAARMS™ is a new age digital platform which aims to offer a one-stop solution to farmers.,2000000.0,2021
UrbanMatrix Technologies,Drone,Undisclosed,Chennai,Helping Industries & Organizations to seamlessly adopt drones in their workflow to elevate efficiency & profitability,100000.0,2021
Jupiter,Banking,Series B,Mumbai,"A digital banking experience that keeps pace with you, and helps master money too.",44000000.0,2021
Pixuate,Deeptech,Seed,Bangalore,"Pixuate enables intelligent business process automation through advanced computer vision, AI and machine learning.",1000000.0,2021
Playo,SportsTech,Pre-series A,Bangalore,Playo is a one stop destination app for all things sports,500000.0,2021
Toothsi,Health,Series B,Mumbai,India’s first and largest at home smile makeover service using invisible aligners.,20000000.0,2021
Soothe Healthcare,Consumer Goods,Series C,New Delhi,"Soothe is a consumer goods company engaged in manufacture, marketing & distribution of Personal Hygiene products.",10000000.0,2021
Goodmeetings,Computer Software,Series A,Bangalore,AI-Based Platform Built Exclusively for Remote Selling,1700000.0,2021
Apnaklub,Wholesale,Seed,Bangalore,Apnaklub is India's most trusted wholesale platform that empowers people to set up their own retail and sales businesses by providing better-than-industry margins,3500000.0,2021
ChefKart,Consumer Goods,Pre-seed,Gurugram,"ChefKart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.",300000.0,2021
Fashinza,Apparel & Fashion,Series A,Gurugram,A new-age supply chain and product development platform for the fashion industry.,20000000.0,2021
Fabheads,Industrial Automation,Pre-series A,Chennai,Fabheads is a hardware startup creating automation equipment to manufacture high-end carbon fiber parts.,121793941.14254577,2021
QuickShift,Logistics & Supply Chain,Seed,Pune,"Helping D2C brands scale with our AI powered Dashboard that manages Inventory, Order Processing, WMS, Shipping, Customer Support",770000.0,2021
StackBOX,Logistics & Supply Chain,Undisclosed,Bangalore,DISTRIBUTION SIMPLIFIED,1200000.0,2021
MedPrime Technologies,Health Care,Seed,Thane,"MedPrime Technologies is a medical device company, dedicated to developing the best, customer-centric solutions for the healthcare needs of the world.",121793941.14254577,2021
infra.market,Construction,Series D,Thane,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,125000000.0,2021
CollegeDekho,E-Learning,Series B,Gurgaon,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals",35000000.0,2021
BOX8,Food & Beverages,Undisclosed,Mumbai,India's Largest Desi Meals Brand,40000000.0,2021
Simpl,Consumer Services,Series B,Bangalore,"Simpl empowers merchants to build trusted relationships with their customers one transaction at a time through one-click checkout, personalized PoS credit and intelligent loyalty rewards",40000000.0,2021
8i Ventures,Venture Capital & Private Equity,Undisclosed,Mumbai,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,50000000.0,2021
PayGlocal,Financial Services,Series A,Bangalore,PayGlocal is a FinTech solving for global payments acceptance,4900000.0,2021
Curefit,Health,Undisclosed,Bangalore,Tata Digital-backed Curefit,145000000.0,2021
Pocket FM,OTT,Series B,Bangalore,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.",22000000.0,2021
CHARGE+ZONE,Automotive,Undisclosed,Vadodara,CHARGE+ZONE is a tech-driven EV Charging infrastructure company specializing in B2B and B2C charging services on both dedicated and opportunity based charging using smart-grid network.,10000000.0,2021
PlanetSpark,Education Management,Series B,Gurugram,PlanetSpark is building the World Leader in Communication Skills for children in the age groups of 4 to 14 years,13000000.0,2021
LenDenClub,Financial Services,Series A,Mumbai,P2P lending platform delivering high returns of up to 12% p.a. for 5 years to investors.,10000000.0,2021
CometChat,Computer Software,Series A,Mumbai,"Voice, video & text chat SDKs, APIs & Plugins for Developers.",10000000.0,2021
AgroStar,AgriTech,Series D,Pune,"AgroStar is one of India’s foremost AgTech start-ups, working on the mission of #HelpingFarmersWin.",70000000.0,2021
Bizongo,Information Technology & Services,Series D,Mumbai,Bizongo is India’s largest B2B platform for made-to-order products.,100000000.0,2021
Probus Insurance,Insurance,Undisclosed,Mumbai,Probus Insurance is a leading InsurTech platform in India.,6700000.0,2021
MoEngage,Software,Series D,Bangalore,Insights-led customer engagement platform for the customer-obsessed marketers & product owners.,30000000.0,2021
CloudSEK,Computer & Network Security,Series A,Bangalore,AI-powered Digital Risk Monitoring platform that provides real-time visibility of cyber threats and actionable Intel.,7000000.0,2021
Exponent Energy,Automotive,Pre-series A,Bangalore,Simplifying energy for EVs by building a Flexible Energy Stack.,5000000.0,2021
Trinkerr,Capital Markets,Series A,Bangalore,Trinkerr is India's first social trading platform.,6600000.0,2021
Zorro,Social network,Seed,Gurugram,Pseudonymous social network platform,32000000.0,2021
Ultraviolette,Automotive,Series C,Bangalore,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,150000000.0,2021
NephroPlus,Hospital & Health Care,Series E,Hyderabad,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.",24000000.0,2021
Unremot,Information Technology & Services,Seed,Bangalore,Unremot is a personal office for consultants!,700000.0,2021
FanAnywhere,Financial Services,Seed,Bangalore,Celebrity NFT platform,121793941.14254577,2021
PingoLearn,E-Learning,Undisclosed,Pune,PingoLearn offers language learning courses with snackable videos.,200000.0,2021
Spry,Music,Seed,Mumbai,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,1500000.0,2021
Enmovil,Information Technology & Services,Pre-series A,Hyderabad,Enmovil delivers a Business Intelligence Platform driven by a connected asset ecosystem that enables organizations to maximise their operational efficiency.,1300000.0,2021
ASQI Advisors,Financial Services,Pre-series A,Mumbai,Bringing Blockchain technology intro mainstream finance!,1000000.0,2021
Insurance Samadhan,Insurance,Pre-series A,New Delhi,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,725000.0,2021
Evenflow Brands,Consumer Goods,Undisclosed,Mumbai,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,500000.0,2021
MasterChow,Food & Beverages,Seed,n/a,A ready-to-cook Asian cuisine brand,461000.0,2021
Fullife Healthcare,Health Care,Undisclosed,n/a,Varun Khanna,121793941.14254577,2021
MoEVing,EV,Undisclosed,Gurugram,"Vikash Mishra, Mragank Jain",121793941.14254577,2021
Pristyn Care,Hospital & Health Care,Series E,Gurugram,A new age health tech company that aims to simplify the surgery journey of a patient by offering care at every step.,96000000.0,2021
Plix,Health,Series A,Mumbai,Plant-based nutraceutical firm,5000000.0,2021
Uni Cards,Financial Services,Series A,Bangalore,"Uni Card splits your payments into 3 parts, over 3 months, at 0 extra costs.",70000000.0,2021
Practically,E-Learning,Undisclosed,Hyderabad,An experiential learning app for grades 6th to 12th.,5000000.0,2021
Nestasia,Retail,Series A,Kolkata,"Artisanal, Handmade, bio conscious crafts from South East Asia.",4000000.0,2021
Vedic Cosmeceuticals,Cosmetics,Series A,Noida,One of india’s most trusted and technologically advanced white label manufacturer in the personal care space,32000000.0,2021
Juspay,FinTech,Series C,Bangalore,Enable frictionless payments for the billion Indians.,60000000.0,2021
TranZact,Information Technology & Services,Series A,Mumbai,A mission to digitize millions of Indian SMEs so they can grow better.,7000000.0,2021
Atomberg,Consumer Electronics,Undisclosed,Mumbai,Atomberg has built the ‘Brushless DC Motor’ (BLDC) technology for ceiling fans in India and has continuously innovated and improved on the technology.,20000000.0,2021
Ola,Mobility,Undisclosed,Bangalore,"Ola is India’s largest mobility platform and one of the world’s largest ride-hailing companies, serving 250+ cities across India, Australia, New Zealand, and the UK",500000000.0,2021
Mohalla Tech,Social Media,Series G,Bangalore,"Mohalla Tech Pvt. Ltd. is a computer software company based out of Bengaluru, India.",266000000.0,2021
Stack,Financial Services,Seed,Bangalore,Stack is an investing platform set to put money to work and help invest like some of the world’s biggest money-makers,4500000.0,2021
PropReturns,Real Estate,Undisclosed,Mumbai,PropReturns is a platform for users to invest in Indian Real Estate backed by data.,1200000.0,2021
WeSkill,E-Learning,Pre-seed,Gurugram,Act as the bridge for skills providing access to learning and developing these skills at a younger age from the comfort and security of home.,4000000.0,2021
Fitpage,Health,Undisclosed,Mumbai,"An endurance-first fitness tech platform focussed on enabling you to learn, eat, work out and live better.",300000.0,2021
ShopMyLooks,Digital platform,Undisclosed,Noida,ShopMyLooks turns social media photos & videos into shop-the-look thus helping creators monetize their entire content.,200000.0,2021
ByteLearn,E-Learning,Seed,Noida,AI powered teaching assistant for 100 Mn teachers across the world,9500000.0,2021
Dista,Computer Software,Seed,Pune,Dista is an AI-enabled location intelligence platform that offers a wide range of solutions for businesses to power their mobility and field operations.,1200000.0,2021
OfBusiness,Financial Services,Undisclosed,Gurugram,"OfBusiness is a new age commerce and fintech start up, and is technologically driven to provide smart procurement and smart financing to SMEs.",325000000.0,2021
Bizongo,B2B E-commerce,Series D,Mumbai,izongo is India’s largest B2B platform for made-to-order products.,100000000.0,2021
FRND,Online Media,Series A,Bangalore,FRND is an audio dating app for Bharat,6500000.0,2021
Metadome,Computer Software,Pre-series A,Bangalore,"Metadome (formerly Adloid), is a Metaverse, that provides no-code infrastructure to millions of creators & brands, to build immersive experiences for the virtual world.",4000000.0,2021
Keka HR,Information Technology & Services,Undisclosed,Hyderabad,Keka is a simple and intuitive HR software unlike the traditional HR systems.,1600000.0,2021
The Gourmet Jar,Food & Beverages,Undisclosed,Noida,"The Gourmet Jar offers a range of premium condiments in unique flavour combinations, that are handmade in small batches, from scratch, using all-natural ingredients and no preservatives or additives.",150000.0,2021
Flo Mobility,Industrial Automation,Undisclosed,Bangalore,"An autonomous tech stack that can be applied to agri-bots, delivery bots, two wheelers and other use cases where compact bots need to navigate in crowded, unstructured environments.",400000.0,2021
Yodacart,E-Commerce,Pre-seed,Thane,YODACART is an e-commerce startup offering real-time product discovery using AI/ML for appliances based on consumers’ needs with an AR-enabled browsing experience.,225000.0,2021
TheHouseMonk,Real Estate,Undisclosed,Bangalore,A complete property management software platform for team&customers.,5000000.0,2021
Zepto,E-Commerce,Undisclosed,Bangalore,"Ability to consistently deliver 2,500+ products in 10 minutes flat.",100000000.0,2021
Sirona Hygiene,Health,Undisclosed,New Delhi,"An award-winning brand, committed to solving those Intimate & Menstrual Hygiene issues for women",10000000.0,2021
Jumbotail,B2B E-commerce,Series C,Bangalore,"Jumbotail is India's leading B2B marketplace and New Retail platform, serving thousands of mom & pop stores",85000000.0,2021
Captain Fresh,Logistics & Supply Chain,Series B,Bangalore,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,40000000.0,2021
Deciwood,Consumer Electronics,Undisclosed,New Delhi,"Deciwood makes Eco-friendly wooden speakers using latest technology of Energy tube to enhance sound quality, all products are handmade by skilled people of the industry.",200000.0,2021
Kohbee,E-Learning,Pre-seed,Bangalore,"Kohbee is a mobile app for online trainers and educators to run their online business, end to end.",235000.0,2021
Perfora,Consumer Goods,Pre-seed,Gurugram,"Building a disruptive, modern, and functional oral care brand for consumers in India and globally.",260000.0,2021
Unbox Robotics,Logistics & Supply Chain,Series A,Pune,Unbox Robotics is building software-defined robotics platforms to enable logistics players to automate and radically improve their operations on-demand in a limited footprint and capital.,7000000.0,2021
Ninety One,Consumer Goods,Series A,Ahmedabad,"Ninety One makes cycles, which the company claims are affordable and different from the ones available in the market.",30000000.0,2021
Gobillion,Social Commerce,Seed,New Delhi,Redefining social commerce for Tier 2+ cities in India - making e-commerce SOCIAL!,2900000.0,2021
RIPPLR,Logistics & Supply Chain,Pre-series B,Bangalore,India’s first Plug-n-Play distribution ecosystem for brands,12000000.0,2021
SK Finance,Financial Services,Series F,Jaipur,SK Finance is a leading player in vehicle financing and small business loans lending space with AUM over 4000cr.,53000000.0,2021
Eggoz,Food & Beverages,Series A,Gurugram,Make a meaningful impact to improve the protein consumption of people by enriching the lives of the rural egg farmers.,3500000.0,2021
Fabriclore,Apparel & Fashion,Pre-series A,Jaipur,"India's top brand of artisanal & contemporary fabrics, offering the largest catalog of both curated & original designs.",700000.0,2021
Veefin,Information Technology & Services,Undisclosed,Mumbai,"Veefin is the world leader in contextual SCF and digital lending solution adopting user-led design, data and analytics, built by bankers for bankers.",3000000.0,2021
Verandah,Apparel & Fashion,Seed,Mumbai,Verandah is a conscious luxury travel brand retailing amongst the luxury resort wear space with design roots.,1000000.0,2021
Karkinos Healthcare,Hospital & Health Care,Undisclosed,Mumbai,"Medical center for treatment of complex cancers; and research center which leverages technologies such as genomics, synthetic biology, sensors, and AI to analyze data and leading to the development of  affordable cancer interventions.",121793941.14254577,2021
OWO Technologies,Food & Beverages,Seed,Gurugram,An ecommerce startup offering online beverages and packaged drinking water,3000000.0,2021
EsportsXO,Mobile Games,Seed,Bangalore,EsportsXO is an esports tournament management company which offers software to manage tournaments online.,1100000.0,2021
Zorgers,Hospital & Health Care,Undisclosed,Mohali,Zorgers Home Healthcare is India’s most trusted Home Healthcare Service Provider. Recognized by the Govt of India.,121793941.14254577,2021
BangDB,Computer Software,Undisclosed,Bangalore,A Converged NoSQL Data Platform for Predictive and Real-Time analytics for Operational Intelligence,121793941.14254577,2021
Neobank Jupiter,Banking,Series C,Mumbai,Jupiter is a digital banking app with one simple aim – to deliver a banking experience that keeps pace with you.,86000000.0,2021
Skippi Ice Pops,Food Production,Undisclosed,Hyderabad,India's First Icepops Brand,130000.0,2021
Glii,Dating app,Seed,Noida,India’s finest dating companionship application,10000.0,2021
GlobalBees,E-Commerce,Series B,New Delhi,Globalbees partners with entrepreneurs who have built an online-first business.,111000000.0,2021
Mamaearth,Health,Undisclosed,Gurugram,Baby and mother care brand,37000000.0,2021
SecureNow,Insurance,Series B,Gurugram,SecureNow is an award winning tech-enabled insurance intermediary.,6000000.0,2021
Vendor Infra,Construction,Undisclosed,Gurugram,"A B2B Collaboration Platform for Infrastructure Sectors to Search Vendors, Get Quotes, Find Opportunities",265000.0,2021
Hakuna Matata,Information Technology & Services,Undisclosed,Chennai,Hakuna Matata Solutions is a leading Digital Transformation Company offering a full spectrum of technology solutions and services for enterprises across different industry verticals all over the globe.,1000000.0,2021
OneCard,Financial Services,Undisclosed,Pune,"India's finest and smartest metal credit card, reimagined for the mobile generation.",76000000.0,2021
Doubtnut,EdTech,Series B,Gurugram,"Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.",30000000.0,2021
Hubhopper,Podcast,Undisclosed,New Delhi,"Hubhopper is India's leading podcast hosting, creation & distribution platform. Getting podcast across both Indian & global audio platforms",121793941.14254577,2021
Infra.Market,Construction,Series C,Thane,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,100000000.0,2021
Comofi Medtech,HealthTech,Undisclosed,Bangalore,"Comofi Medtech develops healthcare products using artificial intelligence, augmented reality and IoT technologies",200000.0,2021
Battery Smart,Battery,Seed,New Delhi,Battery Smart provides advanced Li-ion batteries to e-rickshaws.,121793941.14254577,2021
